"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Mar-2023","EQ","418.85","435.50","415.00","419.80","421.25","421.30","426.60","878.00","327.25",3167155,"1,351,099,312.55",49950
"22-Mar-2023","EQ","420.75","428.40","418.05","418.75","419.00","419.80","422.42","878.00","327.25",1894070,"800,102,095.00",39793
"21-Mar-2023","EQ","419.75","425.80","410.25","413.85","418.50","418.75","418.47","878.00","327.25",2787019,"1,166,272,872.30",45072
"20-Mar-2023","EQ","423.00","423.00","409.30","427.65","413.75","413.85","415.58","878.00","327.25",2158387,"896,988,327.85",41974
"17-Mar-2023","EQ","429.40","439.00","423.90","420.65","427.50","427.65","429.02","878.00","327.25",2423287,"1,039,650,182.95",41508
"16-Mar-2023","EQ","422.00","431.00","414.20","426.80","422.20","420.65","421.78","878.00","327.25",2731224,"1,151,972,642.60",55028
"15-Mar-2023","EQ","418.75","434.70","408.35","414.00","422.00","426.80","426.48","878.00","327.25",7078235,"3,018,744,995.95",101168
"14-Mar-2023","EQ","443.00","444.00","413.75","435.50","413.75","414.00","418.81","878.00","327.25",5125469,"2,146,585,497.95",82611
"13-Mar-2023","EQ","450.00","471.75","432.15","453.50","438.80","435.50","452.62","878.00","327.25",5813550,"2,631,312,935.75",112398
"10-Mar-2023","EQ","455.00","469.00","450.70","474.40","451.00","453.50","458.65","878.00","327.25",7471742,"3,426,895,472.80",133143
"09-Mar-2023","EQ","479.90","484.45","463.15","461.40","473.35","474.40","478.44","878.00","327.25",16404681,"7,848,722,769.90",203192
"08-Mar-2023","EQ","448.25","461.40","425.75","439.45","461.40","461.40","450.88","878.00","327.25",9279040,"4,183,696,364.60",130922
"06-Mar-2023","EQ","439.45","439.45","439.45","418.55","439.45","439.45","439.45","878.00","327.25",755826,"332,147,735.70",7609
"03-Mar-2023","EQ","417.45","418.55","415.15","398.65","418.55","418.55","417.91","878.00","327.25",952505,"398,058,124.90",7985
"02-Mar-2023","EQ","398.65","398.65","380.00","379.70","398.65","398.65","396.78","878.00","327.25",7268869,"2,884,109,810.55",71168
"01-Mar-2023","EQ","369.00","379.70","368.90","361.65","379.70","379.70","377.70","878.00","327.25",992060,"374,704,333.05",9132
"28-Feb-2023","EQ","328.00","361.65","327.25","344.45","361.65","361.65","344.33","878.00","327.25",14317673,"4,929,996,042.75",147505
"27-Feb-2023","EQ","360.00","362.10","344.45","362.55","344.45","344.45","350.54","878.00","337.25",2731387,"957,452,969.15",55282
"24-Feb-2023","EQ","376.00","387.40","357.25","374.30","366.00","362.55","367.69","878.00","305.00",4274178,"1,571,552,655.90",87200
"23-Feb-2023","EQ","374.00","394.30","370.80","390.30","377.00","374.30","377.27","878.00","305.00",6272834,"2,366,533,221.15",91686
"22-Feb-2023","EQ","409.00","409.00","390.30","410.85","390.30","390.30","395.17","878.00","305.00",3393638,"1,341,052,880.90",61024
"21-Feb-2023","EQ","434.25","442.95","408.35","429.80","411.25","410.85","427.66","878.00","305.00",4314226,"1,845,042,919.40",91249
"20-Feb-2023","EQ","438.95","455.00","421.00","438.25","427.80","429.80","438.20","878.00","305.00",6612934,"2,897,807,106.85",127007
"17-Feb-2023","EQ","422.10","438.25","418.85","417.40","438.25","438.25","434.27","878.00","305.00",4909261,"2,131,921,592.45",74161
"16-Feb-2023","EQ","410.00","417.40","406.70","397.55","417.40","417.40","415.27","878.00","305.00",7344862,"3,050,079,190.95",68618
"15-Feb-2023","EQ","385.00","408.90","383.25","393.40","398.80","397.55","399.52","878.00","305.00",5281042,"2,109,901,235.45",105505
"14-Feb-2023","EQ","393.40","401.50","393.40","414.10","393.40","393.40","394.64","878.00","305.00",2889765,"1,140,411,804.60",36902
"13-Feb-2023","EQ","425.00","443.20","414.10","435.90","414.10","414.10","423.06","878.00","305.00",3499118,"1,480,335,143.10",71937
"10-Feb-2023","EQ","434.80","456.95","417.75","439.70","434.40","435.90","438.60","878.00","227.00",8116825,"3,560,008,746.30",123099
"09-Feb-2023","EQ","439.70","439.70","406.30","418.80","439.70","439.70","431.42","878.00","227.00",12704925,"5,481,188,517.60",171065
"08-Feb-2023","EQ","416.30","418.80","415.00","398.90","418.80","418.80","417.97","878.00","227.00",919480,"384,313,865.95",7655
"07-Feb-2023","EQ","360.95","398.90","360.95","379.95","398.90","398.90","391.31","878.00","227.00",17681627,"6,918,950,028.45",153253
"06-Feb-2023","EQ","379.95","379.95","379.95","399.95","379.95","379.95","379.95","878.00","227.00",665662,"252,918,276.90",21413
"03-Feb-2023","EQ","399.95","399.95","399.95","421.00","399.95","399.95","399.95","878.00","227.00",807229,"322,851,238.55",24540
"02-Feb-2023","EQ","421.00","421.00","421.00","443.15","421.00","421.00","421.00","878.00","227.00",362700,"152,696,700.00",14848
"01-Feb-2023","EQ","475.00","488.70","443.15","466.45","443.15","443.15","462.52","878.00","227.00",10404690,"4,812,361,300.60",199961
"31-Jan-2023","EQ","466.45","466.45","466.45","491.00","466.45","466.45","466.45","878.00","227.00",879002,"410,010,482.90",26843
"30-Jan-2023","EQ","491.00","500.00","491.00","516.85","491.00","491.00","491.15","878.00","227.00",3176559,"1,560,158,084.75",37442
"27-Jan-2023","EQ","525.00","527.65","516.85","544.05","516.85","516.85","517.77","878.00","227.00",981654,"508,274,309.05",31348
"25-Jan-2023","EQ","572.50","573.65","544.05","572.65","544.05","544.05","549.97","878.00","227.00",3376652,"1,857,044,377.10",68012
"24-Jan-2023","EQ","548.10","573.15","547.00","545.90","573.15","572.65","568.41","878.00","227.00",3755007,"2,134,389,258.35",46160
"23-Jan-2023","EQ","556.65","560.00","541.00","554.45","546.75","545.90","550.32","878.00","227.00",865429,"476,264,412.95",24575
"20-Jan-2023","EQ","559.80","559.90","552.45","558.35","554.90","554.45","555.37","878.00","227.00",668493,"371,258,280.40",20495
"19-Jan-2023","EQ","560.90","563.65","555.55","566.00","559.25","558.35","558.96","878.00","227.00",853177,"476,889,480.20",20628
"18-Jan-2023","EQ","573.95","573.95","565.05","572.25","565.50","566.00","567.97","878.00","227.00",870228,"494,267,725.15",23796
"17-Jan-2023","EQ","567.95","577.25","565.00","568.30","571.80","572.25","571.41","878.00","227.00",1032218,"589,814,786.95",23346
"16-Jan-2023","EQ","575.00","578.20","563.75","573.30","567.95","568.30","569.47","878.00","227.00",863149,"491,540,408.60",34843
"13-Jan-2023","EQ","572.95","577.50","568.20","571.40","573.25","573.30","572.25","878.00","227.00",1116306,"638,808,603.75",22151
"12-Jan-2023","EQ","583.90","583.90","570.00","580.20","571.85","571.40","573.94","878.00","227.00",1003738,"576,085,293.30",24287
