"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Mar-2023","EQ","982.00","982.35","977.75","935.60","982.35","982.35","982.08","3,050.00","439.10",1170710,"1,149,730,328.20",17250
"22-Mar-2023","EQ","923.00","935.60","923.00","891.05","935.60","935.60","934.11","3,050.00","439.10",1825044,"1,704,788,432.65",21384
"21-Mar-2023","EQ","868.00","891.05","865.65","848.65","891.05","891.05","884.84","3,050.00","439.10",3819655,"3,379,775,683.30",82541
"20-Mar-2023","EQ","797.95","853.30","775.45","816.25","845.55","848.65","824.97","3,050.00","439.10",6908589,"5,699,346,933.60",193865
"17-Mar-2023","EQ","810.00","816.25","803.25","777.40","816.25","816.25","815.39","3,050.00","439.10",3378276,"2,754,598,900.05",44161
"16-Mar-2023","EQ","766.15","777.40","755.00","740.40","777.40","777.40","772.93","3,050.00","439.10",3038749,"2,348,726,225.65",60389
"15-Mar-2023","EQ","725.00","741.40","716.85","706.10","741.40","740.40","730.48","3,050.00","439.10",3892260,"2,843,203,875.30",99240
"14-Mar-2023","EQ","714.00","729.30","681.00","716.80","712.00","706.10","699.93","3,050.00","439.10",9935463,"6,954,105,022.75",250727
"13-Mar-2023","EQ","716.80","716.80","716.80","682.70","716.80","716.80","716.80","3,050.00","439.10",854810,"612,727,808.00",5312
"10-Mar-2023","EQ","675.00","682.70","663.25","650.20","682.70","682.70","677.24","3,050.00","439.10",2561407,"1,734,674,789.70",34218
"09-Mar-2023","EQ","650.20","650.20","650.20","619.25","650.20","650.20","650.20","3,050.00","439.10",784131,"509,841,976.20",4143
"08-Mar-2023","EQ","619.25","619.25","619.25","589.80","619.25","619.25","619.25","3,050.00","439.10",133344,"82,573,272.00",2497
"06-Mar-2023","EQ","589.80","589.80","589.80","561.75","589.80","589.80","589.80","3,050.00","439.10",155806,"91,894,378.80",2312
"03-Mar-2023","EQ","561.75","561.75","561.75","535.00","561.75","561.75","561.75","3,050.00","439.10",58629,"32,934,840.75",2049
"02-Mar-2023","EQ","535.00","535.00","535.00","509.55","535.00","535.00","535.00","3,050.00","439.10",206751,"110,611,785.00",3563
"01-Mar-2023","EQ","509.00","509.55","501.90","485.30","509.55","509.55","508.94","3,050.00","439.10",387360,"197,143,447.40",5319
"28-Feb-2023","EQ","439.10","485.30","439.10","462.20","485.30","485.30","465.50","3,050.00","439.10",8613869,"4,009,739,046.90",133312
"27-Feb-2023","EQ","468.00","474.30","462.20","486.50","462.20","462.20","464.71","3,050.00","462.20",1064159,"494,526,691.65",23135
"24-Feb-2023","EQ","486.50","510.00","486.50","512.10","486.50","486.50","488.07","3,050.00","486.50",1417656,"691,920,714.30",25644
"23-Feb-2023","EQ","512.10","512.10","512.10","539.05","512.10","512.10","512.10","3,050.00","512.10",223957,"114,688,379.70",13686
"22-Feb-2023","EQ","545.00","548.00","539.05","567.40","539.05","539.05","540.11","3,050.00","539.05",861922,"465,529,165.80",19093
"21-Feb-2023","EQ","593.10","599.00","567.40","597.25","567.40","567.40","570.98","3,050.00","567.40",1657718,"946,526,081.00",46412
"20-Feb-2023","EQ","609.00","625.00","597.25","628.65","597.25","597.25","604.08","3,050.00","591.10",2080050,"1,256,511,439.85",66997
"17-Feb-2023","EQ","628.00","639.90","616.55","616.30","628.90","628.65","629.15","3,050.00","591.10",3686567,"2,319,399,459.30",132402
"16-Feb-2023","EQ","632.00","652.05","591.10","621.00","622.00","616.30","632.95","3,050.00","591.10",13543834,"8,572,503,145.85",327350
"15-Feb-2023","EQ","621.00","621.00","621.00","653.65","621.00","621.00","621.00","3,050.00","621.00",307402,"190,896,642.00",19115
"14-Feb-2023","EQ","653.65","653.65","653.65","688.05","653.65","653.65","653.65","3,050.00","653.65",206263,"134,823,809.95",16325
"13-Feb-2023","EQ","688.05","688.05","688.05","724.25","688.05","688.05","688.05","3,050.00","688.05",294782,"202,824,755.10",21406
"10-Feb-2023","EQ","732.00","744.00","724.25","762.35","724.25","724.25","727.36","3,050.00","724.25",2074917,"1,509,210,077.10",73292
"09-Feb-2023","EQ","770.05","798.95","762.35","802.45","762.35","762.35","769.57","3,050.00","762.35",4729491,"3,639,684,095.20",177172
"08-Feb-2023","EQ","831.00","869.80","802.45","844.65","802.45","802.45","826.68","3,050.00","802.45",11524691,"9,527,286,563.85",382200
"07-Feb-2023","EQ","844.65","933.55","844.65","889.10","844.65","844.65","883.71","3,050.00","844.65",14239086,"12,583,186,117.50",435513
"06-Feb-2023","EQ","889.10","889.10","889.10","935.90","889.10","889.10","889.10","3,050.00","889.10",290650,"258,416,915.00",21637
"03-Feb-2023","EQ","935.90","935.90","935.90","1,039.85","935.90","935.90","935.90","3,050.00","935.90",369006,"345,352,715.40",30430
"02-Feb-2023","EQ","1,039.85","1,039.85","1,039.85","1,155.35","1,039.85","1,039.85","1,039.85","3,050.00","1,039.85",509110,"529,398,033.50",27948
"01-Feb-2023","EQ","1,278.90","1,285.00","1,101.55","1,223.90","1,160.40","1,155.35","1,165.27","3,050.00","1,081.10",5928882,"6,908,757,533.55",240821
"31-Jan-2023","EQ","1,135.00","1,240.00","1,081.10","1,189.00","1,221.95","1,223.90","1,157.94","3,050.00","1,081.10",11356550,"13,150,189,681.25",455319
"30-Jan-2023","EQ","1,325.00","1,599.80","1,189.00","1,486.25","1,189.00","1,189.00","1,284.46","3,050.00","1,189.00",12185306,"15,651,496,114.90",549508
"27-Jan-2023","EQ","1,780.00","1,796.40","1,486.25","1,857.80","1,486.25","1,486.25","1,587.41","3,050.00","1,486.25",5838601,"9,268,279,047.70",316559
"25-Jan-2023","EQ","1,900.00","1,912.45","1,840.00","1,916.80","1,872.00","1,857.80","1,868.18","3,050.00","1,650.20",1219566,"2,278,372,742.15",60687
"24-Jan-2023","EQ","1,948.90","1,964.20","1,905.00","1,931.85","1,910.45","1,916.80","1,926.06","3,050.00","1,650.20",892161,"1,718,354,967.85",42779
"23-Jan-2023","EQ","1,986.70","2,009.05","1,911.30","1,975.60","1,938.00","1,931.85","1,961.95","3,050.00","1,650.20",1225337,"2,404,047,743.45",56104
"20-Jan-2023","EQ","1,965.00","2,008.00","1,958.50","1,954.30","1,971.00","1,975.60","1,982.38","3,050.00","1,650.20",2837568,"5,625,135,582.95",86182
"19-Jan-2023","EQ","2,088.05","2,088.05","1,940.50","2,096.90","1,954.00","1,954.30","1,983.59","3,050.00","1,650.20",2465786,"4,891,109,374.20",117158
