"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Mar-2023","EQ","1,038.00","1,084.40","1,022.10","1,032.80","1,084.40","1,084.40","1,075.37","4,236.75","631.50",1814692,"1,951,471,662.30",38184
"22-Mar-2023","EQ","1,014.00","1,044.00","1,011.30","1,006.10","1,035.25","1,032.80","1,030.08","4,236.75","631.50",1714719,"1,766,304,181.10",54719
"21-Mar-2023","EQ","1,019.95","1,037.70","972.30","1,009.10","1,004.40","1,006.10","1,015.39","4,236.75","631.50",2265181,"2,300,037,535.70",69510
"20-Mar-2023","EQ","986.10","1,054.30","971.25","1,022.35","998.80","1,009.10","1,006.12","4,236.75","631.50",2491229,"2,506,483,729.95",80205
"17-Mar-2023","EQ","994.30","1,022.35","988.00","973.70","1,022.35","1,022.35","1,014.44","4,236.75","631.50",2455413,"2,490,860,610.00",64193
"16-Mar-2023","EQ","940.00","974.75","906.25","928.35","974.75","973.70","956.82","4,236.75","631.50",3151991,"3,015,903,067.55",90605
"15-Mar-2023","EQ","857.10","947.30","857.10","902.20","919.70","928.35","909.39","4,236.75","631.50",2706203,"2,460,994,154.00",60714
"14-Mar-2023","EQ","979.80","979.80","902.20","949.65","902.20","902.20","919.57","4,236.75","631.50",2540765,"2,336,418,165.35",42952
"13-Mar-2023","EQ","949.65","949.65","949.65","904.45","949.65","949.65","949.65","4,236.75","631.50",589390,"559,714,213.50",3718
"10-Mar-2023","EQ","877.00","904.45","863.45","861.40","904.45","904.45","894.10","4,236.75","631.50",1038717,"928,712,260.50",19227
"09-Mar-2023","EQ","861.40","861.40","861.40","820.40","861.40","861.40","861.40","4,236.75","631.50",957485,"824,777,579.00",16742
"08-Mar-2023","EQ","815.00","820.40","801.00","781.35","820.40","820.40","817.93","4,236.75","631.50",1812185,"1,482,233,880.60",24859
"06-Mar-2023","EQ","781.35","781.35","781.35","744.15","781.35","781.35","781.35","4,236.75","631.50",1187948,"928,203,169.80",19384
"03-Mar-2023","EQ","744.15","744.15","744.15","708.75","744.15","744.15","744.15","4,236.75","631.50",1014976,"755,294,390.40",15715
"02-Mar-2023","EQ","700.00","708.75","685.00","675.00","708.75","708.75","704.73","4,236.75","631.50",1300464,"916,472,138.15",29744
"01-Mar-2023","EQ","631.50","675.00","631.50","642.90","675.00","675.00","669.27","4,236.75","631.50",2628313,"1,759,052,922.35",44727
"28-Feb-2023","EQ","642.90","674.40","642.90","676.70","642.90","642.90","653.42","4,236.75","642.90",4607943,"3,010,922,468.15",81949
"27-Feb-2023","EQ","676.70","676.70","676.70","712.30","676.70","676.70","676.70","4,236.75","676.70",73016,"49,409,927.20",5345
"24-Feb-2023","EQ","712.30","712.30","712.30","749.75","712.30","712.30","712.30","4,236.75","712.30",111971,"79,756,943.30",6069
"23-Feb-2023","EQ","749.75","749.75","749.75","789.20","749.75","749.75","749.75","4,236.75","749.75",46327,"34,733,668.25",5075
"22-Feb-2023","EQ","789.20","789.20","789.20","830.70","789.20","789.20","789.20","4,236.75","789.20",57508,"45,385,313.60",5777
"21-Feb-2023","EQ","830.70","830.70","830.70","874.40","830.70","830.70","830.70","4,236.75","830.70",105101,"87,307,400.70",7860
"20-Feb-2023","EQ","887.05","897.75","874.40","920.40","874.40","874.40","877.69","4,236.75","874.40",968551,"850,088,841.80",23135
"17-Feb-2023","EQ","953.05","987.95","920.15","968.55","920.15","920.40","940.26","4,236.75","920.15",1596131,"1,500,773,928.05",64923
"16-Feb-2023","EQ","966.60","1,068.30","966.60","1,017.45","966.60","968.55","1,018.32","4,236.75","966.60",3689508,"3,757,102,076.25",145390
"15-Feb-2023","EQ","1,017.45","1,017.45","1,017.45","1,071.00","1,017.45","1,017.45","1,017.45","4,236.75","1,017.45",75876,"77,200,036.20",5453
"14-Feb-2023","EQ","1,071.00","1,071.00","1,071.00","1,127.35","1,071.00","1,071.00","1,071.00","4,236.75","1,071.00",47784,"51,176,664.00",5072
"13-Feb-2023","EQ","1,127.35","1,127.35","1,127.35","1,186.65","1,127.35","1,127.35","1,127.35","4,236.75","1,127.35",30886,"34,819,332.10",4957
"10-Feb-2023","EQ","1,186.65","1,186.65","1,186.65","1,249.10","1,186.65","1,186.65","1,186.65","4,236.75","1,186.65",84888,"100,732,345.20",9557
"09-Feb-2023","EQ","1,284.00","1,296.00","1,249.10","1,314.80","1,249.10","1,249.10","1,253.51","4,236.75","1,193.65",831921,"1,042,817,639.70",21809
"08-Feb-2023","EQ","1,271.75","1,314.80","1,271.75","1,252.20","1,314.80","1,314.80","1,309.91","4,236.75","1,193.65",1521910,"1,993,561,396.50",55838
"07-Feb-2023","EQ","1,193.65","1,319.25","1,193.65","1,256.45","1,249.95","1,252.20","1,281.74","4,236.75","1,193.65",2833960,"3,632,404,409.05",100343
"06-Feb-2023","EQ","1,256.45","1,256.45","1,256.45","1,396.05","1,256.45","1,256.45","1,256.45","4,236.75","1,256.45",134165,"168,571,614.25",10844
"03-Feb-2023","EQ","1,396.05","1,396.05","1,396.05","1,551.15","1,396.05","1,396.05","1,396.05","4,236.75","1,396.05",108189,"151,037,253.45",9941
"02-Feb-2023","EQ","1,580.00","1,637.30","1,551.15","1,723.50","1,551.15","1,551.15","1,559.42","4,236.75","1,551.15",758683,"1,183,105,257.05",18324
"01-Feb-2023","EQ","1,809.50","1,825.00","1,596.60","1,774.00","1,759.95","1,723.50","1,687.39","4,236.75","1,557.05",2147989,"3,624,503,766.95",95916
"31-Jan-2023","EQ","1,700.00","1,835.00","1,557.05","1,708.20","1,758.80","1,774.00","1,714.62","4,236.75","1,557.05",3693584,"6,333,096,061.10",174216
"30-Jan-2023","EQ","1,775.00","1,860.00","1,611.40","2,014.20","1,707.35","1,708.20","1,686.86","4,236.75","1,611.40",5208061,"8,785,283,179.40",174782
"27-Jan-2023","EQ","2,406.05","2,448.00","2,014.20","2,517.75","2,014.20","2,014.20","2,118.28","4,236.75","1,870.55",2529574,"5,358,341,306.45",146634
"25-Jan-2023","EQ","2,720.00","2,737.75","2,433.90","2,762.15","2,539.00","2,517.75","2,596.66","4,236.75","1,870.55",664314,"1,724,998,011.50",49002
"24-Jan-2023","EQ","2,790.00","2,799.95","2,727.10","2,784.10","2,738.00","2,762.15","2,777.37","4,236.75","1,870.55",351797,"977,072,053.70",17192
"23-Jan-2023","EQ","2,744.95","2,799.00","2,735.00","2,737.95","2,750.00","2,784.10","2,760.93","4,236.75","1,870.55",446563,"1,232,927,078.20",21088
"20-Jan-2023","EQ","2,711.50","2,755.00","2,693.55","2,734.10","2,732.00","2,737.95","2,724.37","4,236.75","1,870.55",459208,"1,251,050,919.60",23590
"19-Jan-2023","EQ","2,679.05","2,753.85","2,640.00","2,710.75","2,722.00","2,734.10","2,696.47","4,236.75","1,870.55",391025,"1,054,388,070.40",29752
"18-Jan-2023","EQ","2,719.25","2,738.95","2,682.35","2,725.05","2,694.15","2,710.75","2,715.42","4,236.75","1,870.55",409175,"1,111,082,528.70",26054
"17-Jan-2023","EQ","2,694.75","2,779.00","2,676.40","2,703.10","2,714.00","2,725.05","2,722.54","4,236.75","1,870.55",806251,"2,195,050,351.70",49994
"16-Jan-2023","EQ","2,684.80","2,724.80","2,641.10","2,689.05","2,683.15","2,703.10","2,688.71","4,236.75","1,870.55",463560,"1,246,379,525.00",33111
"13-Jan-2023","EQ","2,628.00","2,705.00","2,591.60","2,624.00","2,680.00","2,689.05","2,656.06","4,236.75","1,870.55",461162,"1,224,872,422.75",32160
"12-Jan-2023","EQ","2,584.00","2,646.00","2,560.35","2,585.35","2,634.90","2,624.00","2,616.30","4,236.75","1,870.55",637850,"1,668,804,748.60",48759
"11-Jan-2023","EQ","2,652.00","2,652.00","2,552.05","2,652.00","2,566.45","2,585.35","2,594.69","4,236.75","1,870.55",637446,"1,653,976,097.25",43169
"10-Jan-2023","EQ","2,615.00","2,680.00","2,545.20","2,614.50","2,657.85","2,652.00","2,608.88","4,236.75","1,870.55",550065,"1,435,052,681.45",35224
"09-Jan-2023","EQ","2,535.95","2,635.00","2,532.00","2,523.35","2,602.00","2,614.50","2,579.99","4,236.75","1,870.55",375283,"968,227,539.70",27607
"06-Jan-2023","EQ","2,540.00","2,561.45","2,497.25","2,554.15","2,508.95","2,523.35","2,518.71","4,236.75","1,870.55",398510,"1,003,731,913.55",27384
"05-Jan-2023","EQ","2,525.30","2,580.00","2,437.80","2,512.70","2,567.95","2,554.15","2,507.95","4,236.75","1,870.55",567439,"1,423,108,670.40",42904
"04-Jan-2023","EQ","2,575.00","2,576.55","2,500.00","2,576.55","2,510.00","2,512.70","2,531.02","4,236.75","1,870.55",350134,"886,195,990.65",23825
"03-Jan-2023","EQ","2,562.25","2,609.75","2,521.10","2,549.50","2,570.00","2,576.55","2,557.93","4,236.75","1,870.55",441200,"1,128,559,864.25",26861
"02-Jan-2023","EQ","2,609.60","2,647.95","2,530.00","2,589.25","2,546.00","2,549.50","2,580.07","4,236.75","1,870.55",682492,"1,760,874,494.35",45486
