"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Mar-2023","EQ","1,794.00","1,834.00","1,780.00","1,815.40","1,800.00","1,794.00","1,806.17","4,190.00","1,017.45",4108804,"7,421,203,031.00",169920
"22-Mar-2023","EQ","1,834.00","1,850.00","1,806.15","1,824.25","1,809.35","1,815.40","1,825.77","4,190.00","1,017.45",3248124,"5,930,335,770.35",130781
"21-Mar-2023","EQ","1,836.95","1,861.00","1,804.95","1,804.95","1,821.50","1,824.25","1,829.30","4,190.00","1,017.45",4094018,"7,489,199,702.80",158108
"20-Mar-2023","EQ","1,837.00","1,849.95","1,777.40","1,876.55","1,812.00","1,804.95","1,805.76","4,190.00","1,017.45",5168139,"9,332,429,725.15",227261
"17-Mar-2023","EQ","1,901.00","1,918.85","1,845.00","1,843.80","1,874.00","1,876.55","1,870.80","4,190.00","1,017.45",5969594,"11,167,944,229.35",263971
"16-Mar-2023","EQ","1,861.00","1,875.00","1,795.00","1,839.00","1,840.00","1,843.80","1,838.73","4,190.00","1,017.45",6509495,"11,969,202,063.80",311541
"15-Mar-2023","EQ","1,760.90","1,891.45","1,728.10","1,738.20","1,838.00","1,839.00","1,809.83","4,190.00","1,017.45",12296703,"22,254,903,981.50",573832
"14-Mar-2023","EQ","1,874.00","1,874.85","1,651.35","1,874.40","1,730.00","1,738.20","1,742.93","4,190.00","1,017.45",12679663,"22,099,819,684.25",551558
"13-Mar-2023","EQ","1,917.00","1,985.00","1,857.40","1,896.20","1,859.00","1,874.40","1,922.43","4,190.00","1,017.45",7572604,"14,557,763,249.80",373128
"10-Mar-2023","EQ","1,870.00","1,940.00","1,820.60","1,953.15","1,894.20","1,896.20","1,889.62","4,190.00","1,017.45",9419942,"17,800,126,062.50",465434
"09-Mar-2023","EQ","2,049.80","2,068.85","1,905.35","2,039.65","1,941.40","1,953.15","1,970.16","4,190.00","1,017.45",12627794,"24,878,712,558.40",629218
"08-Mar-2023","EQ","2,040.00","2,088.00","1,941.00","1,982.90","2,039.00","2,039.65","2,029.34","4,190.00","1,017.45",13568243,"27,534,592,803.85",625491
"06-Mar-2023","EQ","1,966.70","2,135.00","1,855.00","1,879.50","1,982.00","1,982.90","2,021.04","4,190.00","1,017.45",27180456,"54,932,839,562.45",1230939
"03-Mar-2023","EQ","1,688.85","1,905.95","1,685.50","1,607.25","1,874.00","1,879.50","1,806.68","4,190.00","1,017.45",22888891,"41,352,917,851.60",822488
"02-Mar-2023","EQ","1,499.90","1,646.00","1,407.90","1,564.30","1,588.00","1,607.25","1,564.51","4,190.00","1,017.45",26970925,"42,196,200,068.15",924791
"01-Mar-2023","EQ","1,424.00","1,580.00","1,411.00","1,363.85","1,579.00","1,564.30","1,511.37","4,190.00","1,017.45",20114340,"30,400,282,052.45",758963
"28-Feb-2023","EQ","1,145.00","1,398.00","1,103.75","1,193.50","1,371.35","1,363.85","1,307.03","4,190.00","1,017.45",33948366,"44,371,629,472.60",1047492
"27-Feb-2023","EQ","1,300.00","1,313.80","1,131.05","1,315.65","1,187.55","1,193.50","1,222.37","4,190.00","1,017.45",10271008,"12,554,940,831.15",487401
"24-Feb-2023","EQ","1,410.00","1,427.00","1,261.60","1,382.65","1,312.00","1,315.65","1,321.15","4,190.00","1,017.45",8736727,"11,542,501,086.15",422968
"23-Feb-2023","EQ","1,380.00","1,438.00","1,350.00","1,404.85","1,388.85","1,382.65","1,394.00","4,190.00","1,017.45",8907540,"12,417,096,828.45",427592
"22-Feb-2023","EQ","1,535.00","1,560.00","1,381.20","1,571.10","1,397.50","1,404.85","1,439.33","4,190.00","1,017.45",10606476,"15,266,186,108.80",509088
"21-Feb-2023","EQ","1,626.00","1,644.45","1,561.30","1,621.45","1,563.90","1,571.10","1,598.62","4,190.00","1,017.45",5571915,"8,907,400,136.15",281877
"20-Feb-2023","EQ","1,650.00","1,685.00","1,560.50","1,722.70","1,613.00","1,621.45","1,623.91","4,190.00","1,017.45",6762330,"10,981,416,978.40",334008
"17-Feb-2023","EQ","1,800.00","1,815.85","1,703.20","1,796.60","1,719.00","1,722.70","1,747.80","4,190.00","1,017.45",5392513,"9,425,015,185.70",282372
