"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Mar-2023","EQ","655.00","667.35","652.05","657.15","653.50","654.95","659.65","987.85","395.10",4491324,"2,962,684,412.30",79446
"22-Mar-2023","EQ","669.90","671.90","654.15","664.80","655.85","657.15","662.03","987.85","395.10",4457720,"2,951,154,355.60",78562
"21-Mar-2023","EQ","671.50","674.40","661.20","666.75","665.50","664.80","667.25","987.85","395.10",5011027,"3,343,588,448.65",81539
"20-Mar-2023","EQ","671.00","677.75","659.30","680.35","667.00","666.75","666.12","987.85","395.10",5250369,"3,497,372,890.40",94806
"17-Mar-2023","EQ","688.50","691.75","671.30","679.60","681.00","680.35","678.95","987.85","395.10",7625895,"5,177,623,559.80",108111
"16-Mar-2023","EQ","686.90","692.35","675.15","679.35","679.90","679.60","681.80","987.85","395.10",12992236,"8,858,116,734.10",164713
"15-Mar-2023","EQ","661.55","687.85","657.25","654.50","681.95","679.35","673.55","987.85","395.10",15514873,"10,450,083,211.30",226984
"14-Mar-2023","EQ","681.20","684.55","638.60","681.20","653.50","654.50","658.36","987.85","395.10",18147337,"11,947,420,019.50",253304
"13-Mar-2023","EQ","703.70","710.55","677.15","697.80","679.00","681.20","692.33","987.85","395.10",9693337,"6,710,958,455.30",152319
"10-Mar-2023","EQ","684.80","701.75","680.65","697.25","699.00","697.80","693.22","987.85","395.10",12138642,"8,414,705,007.30",177666
"09-Mar-2023","EQ","713.90","716.60","686.00","712.05","696.10","697.25","699.41","987.85","395.10",17041388,"11,918,998,798.70",291915
"08-Mar-2023","EQ","700.00","715.00","682.00","690.75","711.90","712.05","701.66","987.85","395.10",20232587,"14,196,424,034.35",326843
"06-Mar-2023","EQ","690.00","722.75","681.10","684.65","688.00","690.75","701.08","987.85","395.10",37435406,"26,245,289,711.90",584481
"06-Mar-2023","EQ","690.00","722.75","681.10","684.65","688.00","690.75","701.08","987.85","395.10",37435406,"26,245,289,711.90",584481
"03-Mar-2023","EQ","663.00","704.00","650.55","622.90","683.70","684.65","673.52","987.85","395.10",42832968,"28,848,901,481.90",530895
"02-Mar-2023","EQ","603.95","625.00","585.60","602.10","620.50","622.90","610.83","987.85","395.10",21080489,"12,876,661,541.30",285079
"01-Mar-2023","EQ","598.00","616.00","594.60","592.45","601.70","602.10","605.56","987.85","395.10",18661166,"11,300,528,142.95",265676
"28-Feb-2023","EQ","563.00","614.45","551.95","562.00","590.70","592.45","587.83","987.85","395.10",25360275,"14,907,510,722.95",337506
"27-Feb-2023","EQ","559.00","571.95","553.10","558.90","562.30","562.00","561.80","987.85","395.10",8484384,"4,766,492,331.95",129400
"24-Feb-2023","EQ","557.00","565.90","543.20","551.85","559.80","558.90","554.34","987.85","395.10",8631548,"4,784,824,964.15",128775
"23-Feb-2023","EQ","539.50","558.15","533.65","547.10","553.60","551.85","547.75","987.85","395.10",10711597,"5,867,321,506.50",158032
"22-Feb-2023","EQ","583.50","583.55","540.00","583.20","540.95","547.10","558.86","987.85","395.10",10994235,"6,144,270,357.10",193991
"21-Feb-2023","EQ","585.00","593.80","579.20","579.70","584.00","583.20","586.70","987.85","395.10",7702230,"4,518,874,075.30",130920
"20-Feb-2023","EQ","567.30","581.65","560.00","578.65","580.05","579.70","572.14","987.85","395.10",9507162,"5,439,403,085.25",132994
"17-Feb-2023","EQ","579.00","586.00","569.10","577.20","577.55","578.65","577.40","987.85","395.10",8880620,"5,127,640,800.95",129313
"16-Feb-2023","EQ","580.00","590.80","573.30","569.05","578.00","577.20","581.17","987.85","395.10",9909820,"5,759,329,408.30",165208
"15-Feb-2023","EQ","567.80","578.85","561.90","565.10","569.35","569.05","569.76","987.85","395.10",9259895,"5,275,958,368.20",154159
"14-Feb-2023","EQ","551.00","581.25","538.30","553.70","564.00","565.10","560.09","987.85","395.10",17976429,"10,068,397,405.85",323360
"13-Feb-2023","EQ","587.90","596.10","537.40","583.95","552.50","553.70","562.14","987.85","395.10",19528545,"10,977,691,210.70",344169
